file,design,model,lines,always_blocks,if_statements,registers,counters,complexity_score
./trojaned_outputs\gpt-4.1\aes_sbox\aes_sbox_HT1_gpt-4.1_A1.v,aes,HT1,44,2,3,2,1,52
./trojaned_outputs\gpt-4.1\aes_sbox\aes_sbox_HT2_gpt-4.1_A1.v,aes,HT2,59,1,3,4,1,69
./trojaned_outputs\gpt-4.1\aes_sbox\aes_sbox_HT3_gpt-4.1_A1.v,aes,HT3,94,2,6,4,1,110
./trojaned_outputs\gpt-4.1\aes_sbox\aes_sbox_HT4_gpt-4.1_A1.v,aes,HT4,53,3,4,3,0,64
./trojaned_outputs\gpt-4.1\uart_controller\uart_controller_HT1_gpt-4.1_A1.v,uart,HT1,68,1,7,5,2,87
./trojaned_outputs\gpt-4.1\uart_controller\uart_controller_HT2_gpt-4.1_A1.v,uart,HT2,80,1,7,7,3,101
./trojaned_outputs\gpt-4.1\uart_controller\uart_controller_HT3_gpt-4.1_A1.v,uart,HT3,94,1,14,6,2,128
./trojaned_outputs\gpt-4.1\uart_controller\uart_controller_HT4_gpt-4.1_A1.v,uart,HT4,61,1,6,6,1,79
N/A,uart,4,75.75,1.0,8.5,6.0,2.0,98.75
N/A,aes,4,62.5,2.0,4.0,3.25,0.75,73.75
N/A,All,8,69.125,1.5,6.25,4.625,1.375,86.25
